브랜드,제품,제품명,용량,가격,지성,건성,민감성,특징,효능,특징2,,,지성,건성,민감성
TS,샴푸,TS 골드플러스 TS 샴푸 500ml,500,12850,"살리실산, 녹차추출물, 멘톨","글리세린, 판테놀",,,"탈모완화,수분공급,볼륨효과","1-2번,5번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
TS,샴푸,TS 올뉴 플러스 TS 샴푸 500ml,500,13980,"살리실산, 녹차추출물","글리세린, 프로필렌글라이콜, 부틸렌글라이콜, 판테놀",알로에베라잎추출물,"실리콘프리,파라벤프리","탈모완화,영양공급","5번,피지억제,4번,2번",지성.탈모,,"피지 조절,수렴 및 진정,비듬 제거","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
TS,샴푸,TS 뉴 프리미엄 TS 샴푸 펌프형 500ml,500,13950,"글리세린, 부틸렌글라이콜, 판테놀","글리세린, 부틸렌글라이콜, 판테놀",알로에베라잎추출물,"약산성(pH6.5),실리콘프리,파라벤프리","탈모완화,영양공급","1-2번,5번,2번",탈모.약산성,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
TS,샴푸,TS 올뉴 TS 샴푸 500ml,500,14450,살리실산,판테놀,,"실리콘프리,파라벤프리","탈모완화,영양공급","1-2번,피지억제",지성.탈모,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
TS,샴푸,TS 블랙 에디션샴푸 500ml,500,55890,,콩추출물,,저자극,탈모완화,탈모 억제 효과,탈모,,,탈모 억제 효과,
TS,샴푸,TS 비디샴푸 500ml,500,11220,"살리실산, 녹차추출물, 멘톨","글리세린, 프로필렌글라이콜, 부틸렌글라이콜, 판테놀",,"약산성(pH6.5),설페이트프리","탈모완화,수분공급,모발윤기","1-2번,5번,피지억제,4번",지성.쿨링효과.탈모.약산성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
TS,샴푸,TS 비오틴 샴푸 500ml,500,69000,,"글리세린, 부틸렌글라이콜, 판테놀",,"더스트세정효과,저자극,실리콘프리,파라벤프리","탈모완화,두피클렌징,모발윤기","1-2번,5번",탈모.건성.,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
TS,샴푸,TS 트러스트 TS 샴푸 500ml,500,20580,"녹차추출물, 알란토인","글리세린, 프로필렌글라이콜, 부틸렌글라이콜, 판테놀","알란토인, 알로에베라잎추출물","한방성분,약산성(pH6.5),실리콘프리,파라벤프리","탈모완화,모발보호","1-2번,5번,수렴 및 진정",탈모.민감성.,,"수렴 및 진정,비듬 제거","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가","수렴 및 진정,예민현상 진정"
TS,샴푸,TS 프리미엄 TS 샴푸 500ml,500,25390,,"쉐어버터, 글리세린",알로에베라잎추출물,한방성분,탈모완화,"4번,5번,2번",민감성.,,,보습력 증가,예민현상 진정
TS,샴푸,TS 내추럴 프리미엄 TS 샴푸 500ml,500,32190,살리실산,판테놀,,"실리콘프리,파라벤프리",탈모완화,"1-2번,피지억제",탈모.,,피지 조절,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
TS,샴푸,TS 내추럴 올뉴 TS 샴푸 500ml,500,31490,"살리실산, 녹차추출물, 멘톨","글리세린, 프로필렌글라이콜, 부틸렌글라이콜, 판테놀",알로에베라잎추출물,"실리콘프리,파라벤프리","탈모완화,영양공급","1-2번,5번,피지억제,4번,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
TS,샴푸,TS 뉴TS 쿨샴푸 500ml,500,25860,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,,"탈모완화,쿨링효과","1-2번,5번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
모다모다,샴푸,모다모다 프로체인지 블랙샴푸 300g,300,25430,"살리실산, 녹차추출물","글리세린, 부틸렌글라이콜, 판테놀",,"약산성(pH6.5),설페이트프리,실리콘프리","탈모완화,두피진정,쿨링효과,새치케어","1-2번,5번,피지억제,4번",지성.탈모.약산성,,"피지 조절,수렴 및 진정,비듬 제거","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
아모스,샴푸,"아모스 수렴 및 진정,비듬 제거실감 샴푸액 지성타입 500ml",500,12410,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,,탈모완화,"9번,피지억제",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
아모스,샴푸,"아모스 수렴 및 진정,비듬 제거실감 샴푸액 중,건성타입 500ml",500,13220,"살리실산, 멘톨",판테놀,,,탈모완화,"1-2번,피지억제",건성.탈모,,"피지 조절,수렴 및 진정,쿨링 효과","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
아모스,샴푸,"아모스 수렴 및 진정,비듬 제거실감 샴푸액 민감성타입 500ml",500,13990,"살리실산, 녹차수, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,,탈모완화,"1-2번,5번,피지억제,4번",쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
메디올,샴푸,메디올 메디올 두피청정샴푸 480ml,480,12660,,"쉐어버터, 글리세린, 아보카도오일, 콩추출물, 판테놀",,"약산성(pH6.5),저자극",,"1-2번,탈모 억제 효과,피지억제",건성.탈모.약산성.민감성,,,"보습력 증가,수분 증발 방지,탈모 억제 효과,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
메디올,샴푸,메디올 두피청정 샴푸 힐링부케 800ml,800,39090,,,,"설페이트프리,실리콘프리,파라벤프리",탈모완화,,탈모,,,,
메디올,샴푸,메디올 두피청정 샴푸 후레쉬 시트러스 800ml,800,39060,,,,"설페이트프리,실리콘프리,파라벤프리",탈모완화,,탈모,,,,
닥터그루트,샴푸,닥터그루트 탈모방지 힘없는 모발 샴푸 400ml,400,13420,"살리실산, 멘톨","부틸렌글라이콜, 판테놀",,"실리콘프리,파라벤프리",탈모완화,"3번,5번",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 라임바질 앤 만다린 애딕트 샴푸 680ml,680,26600,"살리실산, 녹차추출물, 멘톨","글리세린, 소디움PCA, 판테놀",,약산성(pH6.5),탈모완화,"5번,9번,피지억제,4번",지성.쿨링효과.탈모.약산성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 탈모증상집중케어 두피 쿨링 샴푸 400ml,400,17160,"살리실산, 멘톨","글리세린, 부틸렌글라이콜, 판테놀",,,"탈모완화,두피클렌징,쿨링효과","1-2번,5번,9번,피지억제",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 마이크로바이옴 샴푸 200ml,200,14000,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 캐모마일꽃수, 판테놀",캐모마일꽃수,,탈모완화,"5번,9번,피지억제,4번,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터그루트,샴푸,닥터그루트 탈모방지 지성 샴푸 400ml,400,15290,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,"실리콘프리,파라벤프리",탈모완화,"1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 프로비오틴 힘없는 모발용 샴푸 400ml,400,20760,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,,탈모완화,"1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 비듬각질 딥클렌징 샴푸 400ml,400,17100,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,,탈모완화,"1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 애딕트 자스민 샴푸 680ml,680,32310,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,,"탈모완화,영양공급","1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 지성두피용 샴푸 870ml,870,32950,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,,탈모완화,"1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터그루트,샴푸,닥터그루트 마이크로바이옴 샴푸 400ml,400,13000,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 캐모마일꽃수, 판테놀",캐모마일꽃수,,탈모완화,"5번,9번,피지억제,4번,2번",지성.쿨링효과.탈모.민감성,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,습윤,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터그루트,샴푸,닥터그루트 애딕트 릴리드 모헬리 샴푸 385ml,385,17460,녹차추출물,"글리세린, 콩추출물, 캐모마일꽃수, 판테놀",캐모마일꽃수,,탈모완화,"5번,탈모 억제 효과,9번,4번,2번",지성.탈모.민감성,,"수렴 및 진정,비듬 제거","보습력 증가,탈모 억제 효과,습윤,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",예민현상 진정
닥터그루트,샴푸,닥터그루트 더마솔루션 대용량 샴푸 870ml,870,78755,"살리실산, 녹차추출물, 멘톨","글리세린, 부틸렌글라이콜, 소디움PCA, 판테놀",,"설페이트프리,실리콘프리,파라벤프리",탈모완화,"1-2번,5번,9번,피지억제,4번",지성.쿨링효과.탈모,,"피지 조절,수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
